type	count	actually	also	always	come	could	de	det	en	enfj	enfp	entj	entp	er	esfj	esfp	estj	estp	even	fe	feel	fi	find	friend	function	german	germany	get	give	go	good	help	ikke	infj	infp	interest	intj	intp	isfj	isfp	istj	istp	jeg	know	life	like	lol	look	lot	love	make	mean	much	need	og	one	people	person	pretty	really	right	say	se	see	seem	si	someone	something	still	take	talk	thank	thing	think	though	til	time	try	type	u	use	want	way	well	work	would	yeah	year	
ENFJ	1534	0	3437	0	2409	0	0	0	3817	3817	0	0	0	0	0	0	0	0	2714	2705	7462	3108	3108	3426	2516	0	0	7222	0	4882	5161	0	0	0	0	0	0	0	0	0	0	0	0	6303	0	10574	0	0	2975	3615	6325	2495	3467	3091	0	4995	8967	2396	0	5441	0	5456	3915	3915	0	0	2930	3250	0	3112	0	0	5902	9264	0	0	4630	3357	4462	2421	2421	4354	3903	2921	2824	5231	0	0
ENFP	6167	0	13704	10250	10208	0	0	0	18756	0	18756	0	0	0	0	0	0	0	11539	29093	29093	13416	13416	16660	0	0	0	35114	0	21162	21162	0	0	0	0	0	0	0	0	0	0	0	0	24558	12016	44551	0	0	12457	16644	25484	9268	14290	12288	0	22212	32681	9419	0	21868	0	19984	13842	13842	0	0	11101	13343	0	12853	10577	0	25558	34809	0	0	22492	13685	12209	0	0	19387	15935	11149	13580	16753	0	0
ENTJ	2955	0	6325	0	4292	0	0	0	8349	0	0	8349	0	0	0	0	0	0	5160	8126	8126	5411	5411	4842	0	0	0	14924	4244	9295	9709	0	0	0	0	0	0	0	0	0	0	0	0	9629	4377	17222	0	4458	4807	3979	10788	4374	5702	5832	0	10281	14604	0	0	7314	0	8826	6607	6607	0	0	4113	5450	0	6031	0	0	9351	14527	0	0	8879	5769	7091	4990	4990	8172	6828	5514	6942	9739	0	0
ENTP	11725	0	24268	0	16825	17334	0	0	27712	0	0	0	27712	0	0	0	0	0	22196	33042	33042	20591	20591	18081	0	0	0	60011	0	37020	37020	0	0	0	0	0	0	0	0	0	0	0	0	40933	0	77545	0	17217	19553	0	46478	19215	23740	19380	0	41360	61031	0	0	34707	0	40872	26970	26970	0	0	17733	23002	0	22814	16569	0	44069	69751	16346	0	34940	23214	25091	21804	21804	30172	29124	22458	25334	37707	0	0
ESFJ	181	0	450	332	314	0	0	0	0	0	0	0	0	0	720	0	0	0	333	358	694	329	329	472	391	0	0	915	0	516	554	0	0	0	0	0	0	0	0	0	0	0	0	849	0	1498	315	0	471	452	720	0	494	0	0	679	1049	0	0	633	0	711	542	542	0	0	0	359	0	369	314	330	661	1353	349	0	603	314	891	335	335	507	488	381	0	626	0	0
ESFP	360	0	774	0	585	0	0	0	0	0	0	0	0	0	0	1056	0	0	0	1138	1138	577	0	690	646	0	0	1782	0	1061	1061	0	0	0	0	0	0	0	0	0	0	0	0	1465	0	3231	0	604	694	0	1374	637	749	0	0	1345	1932	0	564	1143	0	1439	603	603	603	0	0	692	0	766	0	0	1328	2242	613	0	1041	603	1458	648	648	810	857	692	552	1277	622	0
ESTJ	482	0	926	0	0	0	780	1753	810	0	0	0	0	1746	0	0	1118	0	721	1065	1065	0	0	0	733	0	0	1894	0	1176	1176	0	988	0	0	0	0	0	0	0	0	0	728	1460	0	2671	0	0	799	0	1510	0	790	0	896	1430	2090	0	0	1258	0	1488	1014	1014	0	693	0	699	0	768	0	0	1196	2895	0	717	991	724	1862	807	807	1047	979	710	828	1529	0	0
ESTP	1986	2550	4787	0	0	2764	0	0	0	0	0	0	0	0	0	0	0	2684	3921	2826	2826	0	0	0	0	2876	2876	8960	0	5132	5132	0	0	0	0	0	0	0	0	0	0	0	0	5636	0	10653	0	3044	2869	0	5851	3161	3576	0	0	6165	8408	0	0	4572	2992	5612	4067	4067	0	0	0	2642	2627	3299	0	0	4614	8298	0	0	4540	2702	3167	2705	3778	4199	3626	3759	3014	7024	0	2585
INFJ	14963	0	33727	0	24270	0	0	0	0	0	0	0	0	0	0	0	0	0	30179	72805	72805	32624	32624	33206	0	0	0	76174	0	49337	49337	24565	0	38828	0	0	0	0	0	0	0	0	0	60460	27400	103100	0	0	29400	31212	58498	0	34653	30406	0	52013	83557	25807	0	50792	0	50984	36382	36382	0	0	29850	32992	0	32314	23843	0	60757	89208	0	0	54178	34270	29741	23748	23748	44660	40800	27674	32591	44185	0	0
INFP	12134	0	26719	20017	18875	0	0	0	0	0	0	0	0	0	0	0	0	0	24743	59917	59917	25011	25011	25990	0	0	0	60678	0	39974	39974	0	0	0	30627	0	0	0	0	0	0	0	0	46846	22930	90731	0	18400	23845	30100	46628	0	28924	19662	0	44194	62125	0	0	45154	0	39068	28059	28059	0	0	20068	26749	0	23554	0	0	48428	72435	18721	0	42836	25455	24522	18247	18247	34838	30809	22687	23215	35937	0	0
INTJ	22427	0	48949	0	33612	32442	0	0	0	0	0	0	0	0	0	0	0	0	43584	64914	64914	46460	46460	38264	0	0	0	110973	31489	73470	73470	0	0	0	0	0	55109	0	0	0	0	0	0	76724	35667	135640	0	32429	37131	0	85593	33689	46247	41983	0	78050	120377	0	0	60177	0	72003	48034	48034	0	0	35022	48040	0	45611	0	0	85017	115526	0	0	76398	45930	38307	40039	40039	61105	55634	40009	54906	71840	0	0
INTP	24961	0	53800	0	35797	37653	0	0	0	0	0	0	0	0	0	0	0	0	49555	73083	73083	48201	48201	35258	0	0	0	121701	0	78839	78839	0	0	0	0	34945	0	59896	0	0	0	0	0	82823	38805	157409	0	35678	40685	0	94112	41268	53553	41766	0	86267	125875	0	0	71025	0	81821	52756	52756	0	0	35327	55805	0	47824	0	0	95794	141471	0	0	80439	50662	44111	45057	45057	61919	61000	44589	53017	82306	0	0
ISFJ	650	0	1473	1085	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1230	1072	2652	1214	1214	1508	1176	0	0	3319	0	2056	2056	0	0	0	0	0	0	0	2080	0	0	0	0	2432	0	4831	0	0	1450	1245	2582	0	1421	1080	0	2262	3467	0	0	2395	0	2490	1615	1615	0	1138	1094	1448	0	1263	1144	0	2859	4167	0	0	2238	1383	2225	1113	1113	1690	1706	1292	1260	2355	0	0
ISFP	875	0	1929	1389	1344	0	0	0	0	0	0	0	0	0	0	0	0	0	1647	3377	3377	1551	1551	1780	1304	0	0	4312	0	2586	2586	0	0	0	0	0	0	0	0	2746	0	0	0	3449	0	7425	0	1463	1784	1667	3182	1498	2053	0	0	2947	4265	0	0	3306	0	3251	2231	2231	0	0	0	1874	0	1523	0	0	3610	6081	1526	0	2713	1728	3161	1564	1564	2210	2044	1765	1374	2876	0	0
ISTJ	1243	0	2787	1750	1966	1990	0	0	0	0	0	0	0	0	0	0	0	0	2393	4246	4246	2355	2355	2661	0	0	0	6607	0	3752	3752	0	0	0	0	0	0	0	0	0	3222	0	0	4612	0	8615	0	0	2073	0	4627	1815	2607	2370	0	4247	5671	0	0	3885	0	4359	2986	2986	0	0	1955	2824	0	2605	2311	0	4808	6485	2026	0	4798	2711	2968	2064	2064	3459	3104	2354	3264	4532	0	0
ISTP	3424	0	6599	0	4994	0	0	0	0	0	0	0	0	0	0	0	0	0	6277	8830	8830	5722	5722	5441	0	0	0	18511	4823	10334	10334	0	0	0	0	0	0	0	0	0	0	8992	0	11503	0	22470	0	5058	5679	0	12201	5368	7275	6021	0	11147	17847	0	0	10155	0	12106	7875	7875	0	0	5043	7485	0	6578	5277	0	12585	17449	5041	0	10980	6768	8026	6685	6685	9362	7732	6147	7970	11380	0	0
